ch_in,ch_out,dim,kernel,padding,quant,stride,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
16,7,17,3,0,14,4,9,1,392,940,0,62175,4.018
6,2,27,5,0,12,4,9,1,374,1045,0,40908,4.258
7,9,31,4,2,5,1,5,2,690,1182,0,3526555,4.268
10,9,31,4,0,14,3,10,1,417,1025,0,410419,4.018
13,13,16,4,1,5,3,6,0,392,1054,0,190296,3.453
8,10,20,4,3,14,1,10,2,591,1218,0,1801912,4.018
7,12,18,3,0,3,3,2,0,334,944,0,87125,3.394
1,16,20,2,1,12,5,1,1,305,798,0,7200,3.891
3,15,23,5,1,2,2,2,5,910,1210,0,429125,4.099
3,10,41,5,0,16,2,9,3,728,1210,0,857664,4.098
6,16,8,2,1,13,2,2,1,374,973,0,36272,3.919
16,2,32,5,4,4,4,3,0,365,1061,0,222430,3.523
8,2,37,3,1,11,4,9,2,553,1193,0,78606,3.935
13,12,41,3,1,11,3,10,1,515,1377,0,870579,4.448
8,10,45,2,1,13,4,9,2,598,1204,0,217504,3.99
11,12,33,5,0,12,4,12,1,435,991,0,563327,3.962
8,6,36,3,0,3,1,2,0,359,1008,0,1489556,3.483
11,16,8,4,1,4,3,2,0,360,1012,0,70009,3.339
1,1,50,4,1,11,2,4,1,310,763,0,34262,3.917
10,6,50,5,1,16,2,10,2,527,1306,0,2231130,4.068
10,14,17,4,3,4,4,3,0,403,1137,0,160014,4.258
4,14,39,4,1,9,5,9,1,570,1220,0,172788,3.511
11,14,45,4,1,8,4,6,1,493,1273,0,859342,3.589
8,1,31,4,1,7,2,4,0,362,938,0,101482,3.483
10,4,13,3,0,9,2,3,0,372,1104,0,43536,4.194
4,14,39,5,3,3,4,3,1,553,1254,0,445524,3.392
4,11,39,2,1,2,2,1,1,536,1163,0,275875,3.392
9,5,28,5,3,16,4,10,1,438,1087,0,205262,4.068
15,4,22,3,2,16,3,9,4,846,1310,0,162511,4.188
6,12,49,5,2,13,5,10,1,491,1321,0,496304,4.198
2,2,38,4,1,11,1,4,1,377,1021,0,244996,3.917
8,16,18,4,1,11,5,6,1,395,1031,0,95882,3.917
10,9,9,5,2,8,4,3,0,407,1188,0,54375,4.164
6,2,18,5,3,9,3,5,0,342,1096,0,44696,3.493
13,3,28,3,1,14,2,9,1,541,1147,0,234033,4.018
12,3,46,2,1,4,3,2,0,381,1122,0,211964,3.523
16,9,8,2,0,11,3,2,1,327,789,0,22149,3.864
16,15,22,4,0,5,4,6,1,524,1098,0,279043,3.392
12,8,49,4,3,16,1,10,1,537,1438,0,11043766,4.458
9,1,50,2,0,2,2,1,0,379,994,0,149829,4.161
13,9,14,5,1,5,2,4,0,325,880,0,271380,2.875
7,9,28,4,3,7,1,5,0,399,1062,0,2580886,3.463
12,9,28,3,1,13,4,9,1,415,1076,0,170033,3.99
3,12,17,2,1,11,4,3,3,661,1075,0,22010,4.099
11,11,47,5,2,4,2,3,1,489,1302,0,4416029,3.392
5,4,49,3,0,7,4,4,1,403,1080,0,139313,4.268
2,1,16,2,1,2,1,0,0,274,811,0,10556,3.084
13,7,49,5,3,10,5,12,0,765,1636,0,789762,4.458
10,10,13,2,1,4,2,1,0,371,1084,0,76122,3.403
11,16,10,4,3,15,3,8,1,381,910,0,191607,4.028
7,9,47,5,1,3,5,3,3,828,1265,0,445008,4.198
15,1,14,5,4,5,3,5,2,636,1136,0,56891,4.178
2,16,43,5,4,5,4,5,0,399,1148,0,303820,3.979
14,5,47,2,0,16,2,9,1,488,1242,0,620067,4.448
14,1,48,2,0,9,4,8,0,340,923,0,128708,3.523
12,3,45,3,1,7,1,5,1,590,1381,0,1986149,4.448
15,7,15,3,2,8,1,5,2,685,1252,0,1080572,4.178
13,5,10,3,1,8,2,2,0,371,1083,0,47806,3.514
15,1,12,3,0,9,1,5,0,308,919,0,46647,3.493
7,4,29,2,0,2,3,1,2,618,1095,0,76196,4.221
7,3,16,3,0,4,3,1,0,279,794,0,19795,2.668
11,10,48,4,2,15,4,10,1,514,1333,0,867689,4.448
8,8,21,3,1,12,4,9,2,566,1174,0,73354,3.962
10,8,13,2,0,7,4,2,0,365,1036,0,16048,4.164
9,1,34,3,2,15,1,8,1,442,1148,0,341399,4.188
10,13,12,2,0,3,1,2,0,331,986,0,228643,3.349
11,7,18,4,1,12,1,10,1,538,1119,0,951550,3.962
4,10,10,5,4,14,5,3,1,383,1007,0,24996,3.973
10,7,9,2,0,8,1,2,0,338,950,0,66661,3.512
6,5,11,5,4,9,1,5,0,424,1215,0,425027,3.951
4,2,24,3,1,15,1,4,2,536,1168,0,130354,4.028
11,16,13,5,3,13,2,12,1,480,1224,0,709357,4.23
10,13,49,4,3,8,3,6,1,494,1313,0,1860553,3.589
10,9,40,4,0,13,5,10,1,406,1019,0,293275,3.99
10,14,22,2,0,5,2,5,0,405,1108,0,256550,4.258
11,3,26,5,2,11,4,9,1,538,1199,0,126965,3.935
6,1,46,4,3,5,5,4,0,400,1164,0,68544,4.188
10,11,22,3,1,13,5,9,1,417,1137,0,88825,3.99
10,6,44,2,0,5,1,4,0,434,1196,0,1636194,4.198
14,3,19,5,3,11,2,10,1,578,1352,0,336366,4.188
15,13,21,3,1,7,2,5,3,830,1308,0,853118,4.178
15,12,17,4,0,15,3,12,1,417,977,0,204083,4.046
10,14,37,5,0,12,4,12,1,458,1172,0,748594,4.188
14,11,27,4,3,7,1,6,0,436,1134,0,5879537,3.493
6,2,8,5,3,12,3,3,1,337,1003,0,14300,3.917
13,11,17,2,1,13,5,9,1,458,1132,0,45936,4.258
11,2,41,3,1,15,1,9,1,486,1290,0,1028101,4.198
12,13,35,2,1,16,5,9,1,499,1284,0,189725,4.198
11,3,33,2,0,2,5,1,0,473,998,0,60767,3.456
12,11,37,2,1,14,2,9,1,510,1282,0,728959,4.198
10,2,8,3,2,9,1,3,0,324,1032,0,55716,3.466
14,7,39,5,2,11,1,12,2,639,1421,0,9335692,4.448
7,4,30,4,2,11,5,9,1,376,1018,0,79929,3.935
7,1,15,4,1,8,5,1,0,319,887,0,8433,3.514
2,6,37,5,2,16,3,5,1,451,1233,0,137178,4.05
7,3,40,5,2,2,2,1,2,674,1239,0,687625,4.151
1,4,23,2,0,13,2,1,1,296,768,0,8576,3.919
3,16,47,5,3,4,4,3,4,833,1245,0,653847,4.098
10,8,34,5,2,10,3,10,0,468,1329,0,756172,4.188
15,1,34,4,2,12,3,9,3,689,1149,0,177599,4.448
1,9,50,5,4,13,2,5,1,361,920,0,415935,3.972
14,3,47,3,0,16,1,9,2,595,1282,0,2320243,4.448
4,11,44,3,1,7,5,5,1,564,1249,0,120099,3.392
6,12,43,4,3,11,2,10,2,503,1256,0,1651874,3.935
2,12,44,5,1,5,4,5,0,405,1147,0,195688,3.979
5,14,39,4,2,6,4,5,0,436,1218,0,322629,4.268
8,2,15,5,2,16,1,5,2,550,1230,0,231830,4.05
12,12,8,2,1,11,3,3,1,371,1004,0,21794,3.89
10,1,47,4,1,15,4,9,1,432,1120,0,131424,4.198
11,6,38,2,0,8,5,5,0,428,1142,0,109795,4.188
